6000	2.93	33	0.95	11
7500	2.57	24	1.11	10
10000	2.45	18	1.35	10
20000	3.01	12	1.94	8
30000	3.57	10	2.77	8
40000	4.27	9	3.62	8
50000	5.27	9	4.41	8
75000	6.74	8	6.27	8
100000	7.6	7	8.07	8
