1	5.49E+000
2	8.95E-001
3	2.29E-001
4	9.87E-002
5	4.37E-002
6	3.28E-002
7	1.50E-002
8	1.13E-002
9	7.96E-003
10	5.86E-003
11	3.94E-003
12	3.25E-003
13	3.44E-003
14	2.12E-003
15	1.35E-003
16	9.56E-004
17	9.72E-004
18	8.00E-004
19	6.37E-004
20	5.20E-004
21	4.62E-004
22	3.83E-004
23	3.74E-004
24	2.44E-004
25	2.18E-004
26	1.77E-004
27	1.43E-004
28	1.46E-004
29	8.54E-005
30	7.94E-005
31	5.27E-005
32	6.19E-005
33	4.04E-005
34	4.37E-005
35	3.25E-005
36	2.18E-005
37	2.16E-005
38	1.61E-005
39	1.31E-005
40	1.17E-005
41	9.72E-006
42	7.89E-006
43	7.01E-006
44	5.72E-006
45	4.32E-006
46	4.07E-006
47	3.09E-006
48	2.39E-006
49	2.04E-006
50	1.71E-006
51	1.41E-006
52	1.40E-006
53	1.06E-006
54	8.91E-007
55	8.07E-007
56	5.96E-007
57	5.03E-007
58	3.99E-007
59	3.19E-007
60	2.80E-007
61	2.49E-007
62	2.30E-007
63	1.65E-007
64	1.40E-007
65	1.01E-007
66	8.48E-008
