11	0.01	16	0.01	15	0.01	16	0.01	15
21	0.04	18	0.05	15	0.06	17	0.06	15
31	0.13	18	0.13	15	0.14	18	0.15	15
41	0.25	18	0.25	15	0.26	17	0.25	14
51	0.39	17	0.41	15	0.4	17	0.39	14
61	0.59	17	0.6133333333	15	0.56	16	0.58	14
71	0.86	18	0.85	15	0.77	16	0.723	13
81	1.15	18	1.1333333333	15	1.01	16	0.95	13
91	1.46	18	1.43	15	1.18	15	1.223	13
101	1.83	18	1.85	15	1.6	15	1.397	12
121	2.68	18	2.7	15	2.16	14	2.06	12
141	3.67	18	3.73	15	2.7	13	2.5266666667	11
161	4.86	18	4.91	15	3.23	12	3.37	11
181	6.21	18	6.26	15	4.1966666667	12	3.94	10
201	7.6833333333	18	7.8233333333	15	5.23	12	4.9066666667	10
251	12.1233333333	18	12.21	15	7.6633333333	11	8.2233333333	10
301	17.5266666667	18	17.8166666667	15	10.2933333333	10	10.87	9
351	24.0333333333	18	25.8133333333	16	14.56	10	15.3866666667	9
401	31.4166666667	18	31.9766666667	15	17.06	9	17.8033333333	8
451	39.97	18	40.4466666667	15	22.1766666667	9	23.14	8
501	49.7433333333	18	50.3966666667	15	28.1766666667	9	29.54	8
