1	4
2	1.2
3	0.64
4	0.352
5	0.256
6	0.1568
7	0.10752
8	0.075264
9	0.0550502
10	0.0379331
11	0.0291963
12	0.0202955
13	0.0155405
14	0.0113242
15	0.00834911
16	0.0063211
17	0.00482491
18	0.00355816
19	0.00278803
20	0.00205815
21	0.00161102
22	0.00120106
23	0.000932441
24	0.000708896
25	0.000541042
26	0.000418475
27	0.000323771
28	0.00024727
29	0.00019431
30	0.000147695
31	0.000116574
32	8.87E-05
33	7.00E-05
34	5.35E-05
35	4.20E-05
36	3.25E-05
37	2.52E-05
38	1.97E-05
39	1.53E-05
40	1.19E-05
41	9.39E-06
42	7.25E-06
43	5.75E-06
44	4.44E-06
45	3.52E-06
46	2.72E-06
47	2.15E-06
48	1.67E-06
49	1.32E-06
50	1.03E-06
51	8.08E-07
52	6.33E-07
53	4.95E-07
54	3.90E-07
55	3.06E-07
56	2.40E-07
57	1.90E-07
58	1.48E-07
59	1.18E-07
60	9.17E-08
